ID,NAME,Current Patient Count,Previous Patient Count,Patient Count Difference,Patient Growth Percentage,Current Encounter Count,Previous Encounter Count,Encounter Count Difference,Encounter Growth Percentage,Current Interaction Count,Previous Interaction Count,Interaction Count Difference,Interaction Growth Percentage,Current Archived Call Attempts Count,Previous Archived Call Attempts Count,Archived Call Attempts Count Difference,Archived Call Attempts Growth Percentage,Current Patient Issue Count,Previous Patient Issue Count,Patient Issue Count Difference,Patient Issue Growth Percentage,Current Patient Events Count,Previous Patient Events Count,Patient Events Count Difference,Patient Events Growth Percentage,Current Unit Visits Count,Previous Unit Visits Count,Unit Visits Count Difference,Unit Visits Growth Percentage
5a95b4dcd27cbe43dacbf1b0,Luther Manor,606,350,256,73.14,700,448,252,56.25,3475,2036,1439,70.68,14969,8491,6478,76.29,461,331,130,39.27,139,0,139,,704,452,252,55.75
5aa81efd74410fa8504e9aea,Geisinger Health System,923406,348432,574974,165.02,20213081,12084822,8128259,67.26,700935,396911,304024,76.6,0,0,0,,8868,5658,3210,56.73,8633,55,8578,15596.36,20934838,12551077,8383761,66.8
5acfa72aff16722d8f9117b0,Cedars-Sinai Medical Center,94645,46719,47926,102.58,149477,80193,69284,86.4,123954,54605,69349,127.0,300544,141151,159393,112.92,15204,7026,8178,116.4,52706,0,52706,,149483,80195,69288,86.4
5adfa033ff167296f95e72e7,Medical West,111948,57393,54555,95.06,602989,344666,258323,74.95,26065,25910,155,0.6,0,0,0,,6362,6360,2,0.03,781,3,778,25933.33,721036,432356,288680,66.77
5ae74f5fd27cbe53d0832236,Cambridge Health Alliance,183781,48901,134880,275.82,2361502,938013,1423489,151.76,1972181,1074584,897597,83.53,3463785,1763674,1700111,96.4,4643,4643,0,0.0,773081,0,773081,,1392308,41554,1350754,3250.6
5af48014ff167217fbe09c60,Reid Health,63842,36232,27610,76.2,262486,137747,124739,90.56,138604,88080,50524,57.36,0,0,0,,0,0,0,,0,0,0,,335699,180495,155204,85.99
5b06f54eff1672b95687c44b,Revival Home Health,14235,1667,12568,753.93,13912,1989,11923,599.45,6460,50,6410,12820.0,7597,113,7484,6623.01,233,3,230,7666.67,6522,0,6522,,16138,3017,13121,434.9
5b0ef760ff16727e2a621be8,Partners Healthcare,167167,83507,83660,100.18,264477,108730,155747,143.24,2714,2714,0,0.0,0,0,0,,505,505,0,0.0,0,0,0,,331035,154406,176629,114.39
5b182aacd27cbe7487a74365,Marshall Health,268869,94134,174735,185.62,1740287,1030956,709331,68.8,1466962,877417,589545,67.19,2368937,1384046,984891,71.16,1082159,641726,440433,68.63,410174,0,410174,,313853,313853,0,0.0
5b2286ddff1672e6cf391489,Christiana Care Health System,292984,150801,142183,94.29,706521,414248,292273,70.56,299138,12861,286277,2225.93,40,35,5,14.29,2285,1577,708,44.9,0,0,0,,1045000,611101,433899,71.0
5b3e1f27ff1672feb3fb80df,RCCH HealthCare Partners,865943,513379,352564,68.68,2958890,1930492,1028398,53.27,361916,321300,40616,12.64,791790,692699,99091,14.31,45762,38855,6907,17.78,20119,0,20119,,3630072,2462624,1167448,47.41
5b4ca0c7ff16723d0f9a617b,Beebe Healthcare,72865,31772,41093,129.34,136292,57478,78814,137.12,116140,50966,65174,127.88,297993,132537,165456,124.84,10011,4659,5352,114.87,45312,240,45072,18780.0,136371,69085,67286,97.4
5b4f50dcff16722008feef6e,Westchester Medical Center,98143,53726,44417,82.67,85096,59950,25146,41.94,101337,60749,40588,66.81,301653,188646,113007,59.9,0,0,0,,21218,119,21099,17730.25,135197,74824,60373,80.69
5b60819ad27cbe9e835cc139,Southcoast Health,278969,123968,155001,125.03,1213205,708292,504913,71.29,37308,24784,12524,50.53,0,0,0,,599,477,122,25.58,0,0,0,,1391606,811614,579992,71.46
5b61c887ff16723570077169,Texas Children's Hospital,812564,62477,750087,1200.58,4819100,756508,4062592,537.02,38288,4535,33753,744.28,0,0,0,,173,102,71,69.61,0,0,0,,5023368,830797,4192571,504.64
5b6dac0e74410f377770e4df,Hill Physicians Medical Group,136290,31586,104704,331.49,329873,147453,182420,123.71,293821,118672,175149,147.59,538518,301228,237290,78.77,12061,7794,4267,54.75,76468,0,76468,,287808,127103,160705,126.44
5b71f329ff16722f5cb4edb2,Sutter Independent Physicians,5,5,0,0.0,5,5,0,0.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,4,4,0,0.0
5b7d9f4aff1672dd3ed72c7b,VNA Health Group,3739,3739,0,0.0,4336,4336,0,0.0,2955,2805,150,5.35,5309,5309,0,0.0,348,348,0,0.0,0,0,0,,4524,4524,0,0.0
5b7f1ffcd27cbe886d3450bf,Frederick Memorial Hospital,188078,57120,130958,229.27,871227,411376,459851,111.78,78825,25187,53638,212.96,5,0,5,,410,216,194,89.81,0,0,0,,982522,474550,507972,107.04
5b85617874410f23140f6a8d,Sierra Pacific Orthopedics,100171,31952,68219,213.5,836861,431492,405369,93.95,327976,102537,225439,219.86,615193,194533,420660,216.24,15437,5348,10089,188.65,157416,0,157416,,815791,429731,386060,89.84
54130e4261706f24c3040000,Henry Ford Health System,875771,650233,225538,34.69,2507597,1996312,511285,25.61,665760,432888,232872,53.79,225264,200422,24842,12.39,34379,24705,9674,39.16,10614,0,10614,,3634775,2876262,758513,26.37
51769d4226a97afcc800001b,Bon Secours Health System,107059,107059,0,0.0,178070,178070,0,0.0,65051,62448,2603,4.17,83898,83898,0,0.0,7609,7609,0,0.0,0,0,0,,239200,239200,0,0.0
5519b9135241491e373c0200,Shannon Medical Center,138739,57159,81580,142.72,4344778,2747150,1597628,58.16,188952,141301,47651,33.72,337804,226597,111207,49.08,23189,15573,7616,48.91,40955,0,40955,,4501415,2862107,1639308,57.28
55faceb85241492088930800,Norton Healthcare,717022,457937,259085,56.58,4818887,3478814,1340073,38.52,1008214,756778,251436,33.22,341412,111542,229870,206.08,35121,18768,16353,87.13,65925,0,65925,,5579290,4031736,1547554,38.38
558bfd3b5241490e05410800,Kaleida Health,422415,302996,119419,39.41,1054069,806955,247114,30.62,98801,71923,26878,37.37,13011,12971,40,0.31,8989,8153,836,10.25,1598,12,1586,13216.67,1428073,1042084,385989,37.04
5522cb8d5241496bfe2e0400,Kingsbrook Jewish Medical Center,90416,75869,14547,19.17,255297,223312,31985,14.32,1333,1333,0,0.0,3976,3976,0,0.0,4,4,0,0.0,0,0,0,,284645,247203,37442,15.15
51ae764dacc0dbd4a700000d,SCL - Lutheran Medical Center,221067,221063,4,0.0,635287,635287,0,0.0,402885,386652,16233,4.2,854061,854061,0,0.0,26654,26654,0,0.0,0,0,0,,976962,976962,0,0.0
5175a6271b85b061b300008c,Prime Healthcare,3498586,2450898,1047688,42.75,11926647,5714583,6212064,108.71,616150,541110,75040,13.87,315038,271937,43101,15.85,31721,28209,3512,12.45,53472,0,53472,,15339795,11221754,4118041,36.7
557f57815241496e57820200,Rush University Medical Center,344350,242681,101669,41.89,611735,401377,210358,52.41,394490,241941,152549,63.05,770864,394348,376516,95.48,25617,13166,12451,94.57,48039,174,47865,27508.62,906702,681180,225522,33.11
516e91ab26a97a325d000001,Bronx Lebanon Hospital Center,479815,338186,141629,41.88,5681701,4020934,1660767,41.3,1304028,1023728,280300,27.38,4636106,4138028,498078,12.04,70185,65002,5183,7.97,145265,0,145265,,6057590,4418060,1639530,37.11
56e6d232acc0db51e30001f4,Premier Home Health Care,4,4,0,0.0,4,4,0,0.0,12,11,1,9.09,31,31,0,0.0,3,3,0,0.0,0,0,0,,4,4,0,0.0
56f00372acc0db20db00025b,Akron Children's Hospital,216401,163937,52464,32.0,632064,518352,113712,21.94,19817,17933,1884,10.51,0,0,0,,629,584,45,7.71,550,2,548,27400.0,737612,602910,134702,22.34
572711b64004120d850001bc,NYC Health and Hospitals Corporation,688900,658696,30204,4.59,1392833,1355294,37539,2.77,1151539,1070574,80965,7.56,9348341,9274827,73514,0.79,18729,15731,2998,19.06,33158,0,33158,,1406498,1373407,33091,2.41
5730ee00acc0db0fee00012f,Northwell Health,1219243,599015,620228,103.54,3555907,1996859,1559048,78.08,1047507,658814,388693,59.0,0,0,0,,10334,6848,3486,50.91,13548,0,13548,,5356281,3040527,2315754,76.16
574f072dacc0db06c8000046,Providigm,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
575eb55facc0db0d0d4421f7,Twin Lakes Regional Medical Center,28862,20858,8004,38.37,85589,67969,17620,25.92,72778,62174,10604,17.06,278854,221720,57134,25.77,3812,2875,937,32.59,10850,0,10850,,85595,67975,17620,25.92
5769bbc2677aff73f2589d54,University of Missouri Health Care,315330,191676,123654,64.51,2025467,1233384,792083,64.22,67591,23936,43655,182.38,173,173,0,0.0,2057,2067,-10,-0.48,2869,0,2869,,2455440,1531423,924017,60.34
5785446a677aff398bd74cf6,University of Alabama Birmingham,702348,399729,302619,75.71,12518986,8076521,4442465,55.0,359909,309827,50082,16.16,12974,12974,0,0.0,3264,3049,215,7.05,7149,0,7149,,13901734,9122457,4779277,52.39
57882c6b4004122fb14f4094,Sturdy Memorial Hospital,75583,54626,20957,38.36,155698,121689,34009,27.95,130677,112650,18027,16.0,421777,334534,87243,26.08,6327,4994,1333,26.69,16604,0,16604,,155701,121693,34008,27.95
57a25b4f4004126a83ce3a34,Manhattan Endoscopy Center,43733,39079,4654,11.91,57351,52433,4918,9.38,99722,88818,10904,12.28,223934,208012,15922,7.65,24059,23715,344,1.45,4861,0,4861,,57579,52662,4917,9.34
57a48b46677aff47c8c8c34e,Cedar Community,1964,1514,450,29.72,2804,2281,523,22.93,10262,9046,1216,13.44,27060,22569,4491,19.9,1407,1181,226,19.14,190,0,190,,2980,2313,667,28.84
57b22f2c4004121b3550dc06,Princeton Community Hospital,16363,8612,7751,90.0,26311,14948,11363,76.02,14893,9757,5136,52.64,50396,26913,23483,87.26,1940,1103,837,75.88,7256,0,7256,,26415,15058,11357,75.42
57b3270c677aff0b90d10dab,Rome Memorial Hospital,15384,13081,2303,17.61,25839,22363,3476,15.54,12172,10066,2106,20.92,32444,24880,7564,30.4,1846,1428,418,29.27,1237,0,1237,,25828,22364,3464,15.49
57b70286acc0db7118dac820,Grays Harbor Community Hospital,65134,41792,23342,55.85,577992,419178,158814,37.89,12103,9855,2248,22.81,31761,24816,6945,27.99,1762,1437,325,22.62,1929,15,1914,12760.0,642451,474085,168366,35.51
57e198204004123a2d758980,Mon General Hospital ,435,435,0,0.0,90,90,0,0.0,75,75,0,0.0,0,0,0,,7,7,0,0.0,0,0,0,,90,90,0,0.0
57e2b9f7677aff4c4bdec324,King Faisal Specialist Hospital and Research Centre,4,4,0,0.0,3,3,0,0.0,13,13,0,0.0,0,0,0,,12,12,0,0.0,0,0,0,,3,3,0,0.0
57e9e16facc0db31e083d06d,NorthShore University HealthSystem,331789,212988,118801,55.78,1648561,1183027,465534,39.35,271147,207576,63571,30.63,0,0,0,,7197,6208,989,15.93,49450,0,49450,,2094229,1574942,519287,32.97
57ebef63acc0db66042c1d82,Manatee Memorial Hospital,10,10,0,0.0,10,10,0,0.0,11,11,0,0.0,0,0,0,,15,15,0,0.0,0,0,0,,16,16,0,0.0
583ec08a8e82a8782c2f0fd2,Northwest Michigan Surgery Center,66222,45471,20751,45.64,94245,66587,27658,41.54,75259,57950,17309,29.87,149748,105658,44090,41.73,5001,3179,1822,57.31,16595,0,16595,,94163,66506,27657,41.59
583f7a62da771056d68c122a,Well Care Home Health,61114,44237,16877,38.15,83852,58029,25823,44.5,202352,188023,14329,7.62,320616,318964,1652,0.52,22959,22759,200,0.88,0,0,0,,100430,61280,39150,63.89
584067568e82a86411127b13,Mayo Clinic,139356,23328,116028,497.38,474518,98288,376230,382.78,32376,15310,17066,111.47,107650,40385,67265,166.56,15167,2750,12417,451.53,19140,0,19140,,595866,134320,461546,343.62
58bec27a9c055208405da427,Inova Health System,824462,408239,416223,101.96,3285320,1779216,1506104,84.65,1219385,788243,431142,54.7,742482,229586,512896,223.4,26845,15139,11706,77.32,198317,283,198034,69976.68,4537738,2623196,1914542,72.99
58c84e1074410f666aef1f74,Eyra Care Provider,1,1,0,0.0,1,1,0,0.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,0,0.0
58cfe3a074410f2d1ecca7a9,University of Virginia Health,493407,236449,256958,108.67,7072863,4550009,2522854,55.45,418086,356633,61453,17.23,1637,0,1637,,2871,2257,614,27.2,4822,0,4822,,7330121,4748739,2581382,54.36
58dc22189c05524a52b01691,Carson Tahoe,143647,77774,65873,84.7,1204240,401056,803184,200.27,132480,103437,29043,28.08,250370,166928,83442,49.99,15311,10662,4649,43.6,24787,0,24787,,1695810,1125174,570636,50.72
58dd445b9c055263862ee74b,University of Illinois,707053,195012,512041,262.57,6534770,3511098,3023672,86.12,228887,149740,79147,52.86,190621,142140,48481,34.11,13105,8801,4304,48.9,16211,0,16211,,6856375,3810159,3046216,79.95
58f5155874410f7afcd151ea,Selin CP Name,33,18,15,83.33,42,20,22,110.0,57,17,40,235.29,85,50,35,70.0,46,10,36,360.0,13,0,13,,36,22,14,63.64
58f6cd49d27cbe42a2fed86f,University of Cincinnati Medical Center,418623,201336,217287,107.92,4346965,2711533,1635432,60.31,137789,109760,28029,25.54,0,0,0,,2010,1726,284,16.45,3257,0,3257,,4710248,2987819,1722429,57.65
591b3c8dd27cbe3b8712b576,Peninsula Regional Medical Center,228461,87548,140913,160.96,2106119,1408412,697707,49.54,73381,73270,111,0.15,0,0,0,,169,169,0,0.0,1062,7,1055,15071.43,2276054,1633437,642617,39.34
591db321d27cbe9587f57774,Brookdale  University Hospital Medical Center,198076,124691,73385,58.85,1392925,974341,418584,42.96,40458,29137,11321,38.85,102989,54348,48641,89.5,4414,2149,2265,105.4,13503,0,13503,,1526556,1102201,424355,38.5
5ccaf43cff167268f7aef4c0,Stony Brook Community Medical Center,262351,69631,192720,276.77,1242400,449182,793218,176.59,432761,179757,253004,140.75,656689,315585,341104,108.09,404358,161137,243221,150.94,153898,0,153898,,1205937,408343,797594,195.32
5ccaf480ff16726c99ab5401,Scripps Health System,86884,40484,46400,114.61,63422,36511,26911,73.71,60930,17091,43839,256.5,143284,43542,99742,229.07,7381,2021,5360,265.22,27260,0,27260,,114614,55164,59450,107.77
5cd03c15d27cbe3fc1eab596,Charles B. Wang Community Health Center,83235,21072,62163,295.0,435150,218851,216299,98.83,305830,127589,178241,139.7,464745,233257,231488,99.24,0,0,0,,183828,0,183828,,91635,0,91635,
5ceecbd0ff16729c31b2d17c,St. Bernards Medical Center,37710,9153,28557,312.0,55741,15182,40559,267.15,69277,18241,51036,279.79,135633,35350,100283,283.69,29725,13107,16618,126.79,31206,125,31081,24864.8,56254,15391,40863,265.5
5cf7ebbad27cbe2940acf76f,Banner Health,1301072,356231,944841,265.23,4097785,1379178,2718607,197.12,59923,22312,37611,168.57,0,0,0,,2616,1259,1357,107.78,0,0,0,,8775346,3077950,5697396,185.1
5d2f34f0d27cbe64350849b7,Willis Knighton Health System,55914,7385,48529,657.13,73596,11556,62040,536.86,37037,35373,1664,4.7,0,0,0,,2614,2168,446,20.57,0,0,0,,170853,59072,111781,189.23
5d372c43d27cbef3dfe62fd1,Amerikan Hastanesi,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
5d39ab4cff16722bcfebaad6,St. Croix Hospice,14276,3234,11042,341.43,25971,6665,19306,289.66,31801,6763,25038,370.22,80505,17901,62604,349.72,17028,3495,13533,387.21,223,0,223,,28739,8762,19977,228.0
5d485ddcd27cbe03be05c5e9,iCare,1205,514,691,134.44,1321,602,719,119.44,1264,600,664,110.67,3783,1384,2399,173.34,1228,591,637,107.78,358,0,358,,1342,667,675,101.2
5d545ea4d27cbe2f767a217c,Enloe Medical Center,130099,30469,99630,326.99,1468068,444495,1023573,230.28,589896,65119,524777,805.87,787007,148771,638236,429.01,0,0,0,,355976,0,355976,,1644301,513212,1131089,220.39
5d94bf9ed27cbe77a6d2275e,Texas Health Resources ,821356,142880,678476,474.86,2384349,444972,1939377,435.84,211494,10643,200851,1887.17,0,0,0,,558,110,448,407.27,70456,358,70098,19580.45,3014174,631069,2383105,377.63
5d9668e2d27cbe7843d42d5c,San Joaquin General Hospital,39620,4763,34857,731.83,377959,69093,308866,447.03,230661,31567,199094,630.7,837516,144209,693307,480.77,57047,29902,27145,90.78,146125,1,146124,14612400.0,378026,69848,308178,441.21
5dcdc295d27cbe63f6c3df60,Cabell Huntington Hospital,142150,12526,129624,1034.84,782611,111674,670937,600.8,37771,2272,35499,1562.46,98432,5889,92543,1571.46,3823,167,3656,2189.22,32466,13,32453,249638.46,906040,190903,715137,374.61
5dd5960aff1672272a9a1f70,Culpeper Hospital,41830,3825,38005,993.59,132176,10330,121846,1179.54,642,11,631,5736.36,0,0,0,,31,1,30,3000.0,0,0,0,,191323,26209,165114,629.99
5de9615aff1672b488aab42a,Sarasota Memorial Hospital,287020,48868,238152,487.34,979969,218642,761327,348.21,54620,8480,46140,544.1,0,0,0,,733,203,530,261.08,0,0,0,,1468426,351210,1117216,318.1
5e0e1c99ff1672435dfe154c,Licking Memorial Hospital,67777,5153,62624,1215.29,377472,19616,357856,1824.31,8968,78,8890,11397.44,0,0,0,,187,0,187,,33985,55,33930,61690.91,437532,42220,395312,936.31
5e20d04dd27cbe3daefdd7af,Lee Health,329632,14308,315324,2203.83,1237295,77430,1159865,1497.95,149791,2,149789,7489450.0,0,0,0,,567,0,567,,0,0,0,,1863908,121807,1742101,1430.21
5e385f88ff167237f8c782d5,Hamilton Health Care System,76769,4803,71966,1498.36,302449,31081,271368,873.1,1819,105,1714,1632.38,0,0,0,,23,10,13,130.0,0,0,0,,298243,15623,282620,1809.0
5e4323dcff16723c334beeeb,OptimaHealth,93781,5856,87925,1501.45,283676,22407,261269,1166.02,262128,14924,247204,1656.42,926725,51098,875627,1713.62,207714,15200,192514,1266.54,154931,971,153960,15855.82,283822,23329,260493,1116.61
5e4d58ebd27cbee741c1a244,Cone Health,122577,0,122577,,227966,0,227966,,24070,0,24070,,0,0,0,,1714,0,1714,,0,0,0,,322017,0,322017,
556f4e7f52414947ffb50000,Alecto Healthcare,116399,77530,38869,50.13,234975,159468,75507,47.35,35380,30474,4906,16.1,82817,75757,7060,9.32,5204,4723,481,10.18,1467,0,1467,,277775,205488,72287,35.18
52df0911677aff7bc3000097,UC Davis,333958,123372,210586,170.69,2533489,693339,1840150,265.4,146419,80822,65597,81.16,366650,220384,146266,66.37,69172,44061,25111,56.99,42022,0,42022,,3527681,766480,2761201,360.24
550b3ab85241494278ba0000,Intermountain Healthcare,2876916,1841584,1035332,56.22,13293997,7988268,5305729,66.42,3550328,2457114,1093214,44.49,8791476,6180787,2610689,42.24,192860,143088,49772,34.78,925997,934,925063,99043.15,17313502,12448532,4864970,39.08
54614dcd5241497e8e370000,HAHV,77923,60749,17174,28.27,160499,157244,3255,2.07,416324,398906,17418,4.37,344634,317269,27365,8.63,14912,13492,1420,10.52,961,0,961,,326457,265733,60724,22.85
517584b01b85b061b300003d,Hill Country Memorial,56314,56314,0,0.0,129857,129857,0,0.0,113475,106960,6515,6.09,210673,210673,0,0.0,13694,13694,0,0.0,0,0,0,,139027,139027,0,0.0
560188d45241493461290200,St. David's HealthCare,547653,331771,215882,65.07,1051445,675437,376008,55.67,569062,428539,140523,32.79,1883756,1259638,624118,49.55,80650,58922,21728,36.88,168494,0,168494,,1051624,675532,376092,55.67
54ee4d8c524149146cde0100,Indiana University Health,952689,734240,218449,29.75,2772825,2074735,698090,33.65,921430,696832,224598,32.23,2816897,2259398,557499,24.67,73740,57448,16292,28.36,198297,0,198297,,2772887,2074760,698127,33.65
