ID,NAME
55aef3d15241493cb2d40100,Wichita Falls GI Associates
5d545ea4d27cbe2f767a217c,Enloe Medical Center
58dd445b9c055263862ee74b,University of Illinois
558bfd3b5241490e05410800,Kaleida Health
5b4ca0c7ff16723d0f9a617b,Beebe Healthcare
5b9fd48cff167259c8ca8681,Hartford Healthcare
5b7f1ffcd27cbe886d3450bf,Frederick Memorial Hospital
5d39ab4cff16722bcfebaad6,St. Croix Hospice
5730ee00acc0db0fee00012f,Northwell Health
5a3973a7ff167292f70caf2c,Alacare Home Health
51acb77a677affadae000115,SCL - St. James Healthcare
5b968f8dff16729f0fae928c,AnMed Health
5d94bf9ed27cbe77a6d2275e,Texas Health Resources 
607890f974410f33fdfcea7d,El Camino Health
58bec27a9c055208405da427,Inova Health System
593dfa20d27cbe7b8f0bf41d,John T. Mather Memorial Hospital
5d2f34f0d27cbe64350849b7,Willis Knighton Health System
5aa81efd74410fa8504e9aea,Geisinger Health System
59d82188d27cbe7678087bbe,Tri-City Medical Center
57e2b9f7677aff4c4bdec324,King Faisal Specialist Hospital and Research Centre
51ae3d85acc0db2995000002,SCL - Saint Joseph Hospital
5ea76302ff1672344f700d05,Well Care Home Health (HL7 Test CP)
5ffdbd77ff1672e09c8f2f1b,EvergreenHealth
51af69c4acc0db6d5e000189,SCL - Good Samaritan Medical Center
5af48014ff167217fbe09c60,Reid Health
5175aab31b85b034fb00007e,Upstate University Hospital
5628fda05241492dafde0600,Maryland Community Health System
5b61c887ff16723570077169,Texas Children's Hospital
5b2286ddff1672e6cf391489,Christiana Care Health System
5a944e9fd27cbe7a4c7adc33,Schneck Medical Center
546e65f952414901d8b20200,UnityPoint Health
59f8b966d27cbeb0af4a2940,Marketing-Events
55faceb85241492088930800,Norton Healthcare
591db321d27cbe9587f57774,Brookdale  University Hospital Medical Center
5cae1530ff1672f96aa895a0,Management Solutions
5efc8b7bff1672fe6965e44f,AMSURG
5f16f01174410facfa8ce7cd,Regal Medical Group
5ffdbe5fff1672df03927684,HL7 Test Care Provider (At Home Healthcare)
572711b64004120d850001bc,NYC Health and Hospitals Corporation
550b3ab85241494278ba0000,Intermountain Healthcare
59893d6974410f2220d54d06,Eskenazi Health
575eb55facc0db0d0d4421f7,Twin Lakes Regional Medical Center
5a0f22d4ff16725c1630d97c,Priority Partners
57b3270c677aff0b90d10dab,Rome Memorial Hospital
5eb9b129ff1672391b6812ba,UC Irvine
562529d15241495c5e530000,Flagler Hospital
57a25b4f4004126a83ce3a34,Manhattan Endoscopy Center
59dcd0bcff167278f2dea538,Nascentia Health
5ccaf43cff167268f7aef4c0,Stony Brook Community Medical Center
520b9fed677aff2618000073,UCSF Medical Center
54ee4d8c524149146cde0100,Indiana University Health
5adfa033ff167296f95e72e7,Medical West
584067568e82a86411127b13,Mayo Clinic
5fc693e474410f1b1aad6bed,Boone Memorial Hospital
551424215241491cd50b0000,Baptist Health
5c6f8101ff167233097621ec,SightMD
58c84e1074410f666aef1f74,Eyra Care Provider
547d04ab5241493106670200,UCLA Medical Center
5978d9d4d27cbea259272282,Seattle Childrens Hospital
556f4e7f52414947ffb50000,Alecto Healthcare
5b71f329ff16722f5cb4edb2,Sutter Independent Physicians
5b856d97d27cbeda1d99f29c,Advocate Health Care
5c923f12d27cbe7b9a209c1b,United Health Services
5b85617874410f23140f6a8d,Sierra Pacific Orthopedics
51c9ccbb677aff4218000528,Sentara Healthcare
52fe61815241497341ee0000,Decatur Morgan Hospital
56e6d232acc0db51e30001f4,Premier Home Health Care
57e9e16facc0db31e083d06d,NorthShore University HealthSystem
59bc2849ff167259af2f1c8c,Staten Island PPS
5519b9135241491e373c0200,Shannon Medical Center
5175a0671b85b061b300006f,St. Mary's Medical Center
51769d4226a97afcc800001b,Bon Secours Health System
59c091e3d27cbe326af69d68,CHI Health
59c4025fd27cbebc83ebcf22,Chattanooga Endoscopy Center
5b7d9f4aff1672dd3ed72c7b,VNA Health Group
5a942ea8d27cbe7de07adc06,White Horse Village
57e198204004123a2d758980,Mon General Hospital 
56253f1361706f73e36c0700,Interfaith Medical Center
5b4f50dcff16722008feef6e,Westchester Medical Center
5b3e1f27ff1672feb3fb80df,RCCH HealthCare Partners
57b22f2c4004121b3550dc06,Princeton Community Hospital
54130e4261706f24c3040000,Henry Ford Health System
5b990c43ff16725e9ba7f3a7,Stanford Health Care
58f6cd49d27cbe42a2fed86f,University of Cincinnati Medical Center
5a95b4dcd27cbe43dacbf1b0,Luther Manor
51c0c559677affbffc001ed2,Providence Health & Services
5769bbc2677aff73f2589d54,University of Missouri Health Care
5e6fdb96ff16724bb609d626,Keck Medicine of USC
5cf7ebbad27cbe2940acf76f,Banner Health
57ebef63acc0db66042c1d82,Manatee Memorial Hospital
559d65e55241490d74ca0100,Mercy Health
5c113c1974410fc8443478d8,Riverside University Health System
557f57815241496e57820200,Rush University Medical Center
583f7a62da771056d68c122a,Well Care Home Health
58dc22189c05524a52b01691,Carson Tahoe
5acfa72aff16722d8f9117b0,Cedars-Sinai Medical Center
51c7d099677affcc74000712,SCL - St. Mary's Medical Center
5ae74f5fd27cbe53d0832236,Cambridge Health Alliance
5efa4ab774410f5aff987f55,One Homecare Solutions
5c19524a74410ff8d71d9752,Community Hospital
5e20d04dd27cbe3daefdd7af,Lee Health
57b70286acc0db7118dac820,Grays Harbor Community Hospital
59516787d27cbede1924d757,Community Health Network
