ID,NAME,Patients Size,Encounters Size,Interactions Size,Enrollments Size,Call Attempts Size,Archived Call Attempts Size,Patient Issues Size,Patient Events Size,Unit Visits Size
59dcd0bcff167278f2dea538,Nascentia Health,33271038,30314340,290677374,7214520,2882670,218562821,181615402,3092544,11321515
5b182aacd27cbe7487a74365,Marshall Health,302671044,2102809137,8327104623,0,45541734,4579741132,11907967382,98763288,105768461
5b4ca0c7ff16723d0f9a617b,Beebe Healthcare,78465942,156494466,609892362,34784040,652218,534171068,104991552,11393616,35821415
546e65f952414901d8b20200,UnityPoint Health,18520452,50881839,21796281,34269855,0,0,958642,0,14517286
51ae3d85acc0db2995000002,SCL - Saint Joseph Hospital,313885512,1261525809,1754124066,1475,13356,919654525,1271591356,0,459332011
557f57815241496e57820200,Rush University Medical Center,422144811,809417919,2526086700,0,1057350,1564814770,285513292,14434368,275350568
516e91ab26a97a325d000001,Bronx Lebanon Hospital Center,577944648,7304490633,9063628299,0,1486968,10602165854,913599328,30518592,1807910977
57a48b46677aff47c8c8c34e,Cedar Community,2436687,3790029,70161345,0,95718,59082222,17525596,40872,909226
583f7a62da771056d68c122a,Well Care Home Health,67863024,93464796,1372358691,0,487494,771722712,309830394,92976,22507219
58f5155874410f7afcd151ea,Selin CP Name,38052,47136,257409,885,2226,156455,351052,2808,11121
59c091e3d27cbe326af69d68,CHI Health,985603878,12247124457,4562727579,0,309414,416317127,264072116,14132976,2982873272
5a944e9fd27cbe7a4c7adc33,Schneck Medical Center,82574199,861087813,2340905274,0,18887610,1151701360,1594437678,31708560,34890284
551424215241491cd50b0000,Baptist Health,166921893,296684295,489417993,0,195888,504817703,125339066,1095432,67983010
55aef3d15241493cb2d40100,Wichita Falls GI Associates,47552769,234754956,1068247350,0,2085762,928300469,956967752,1750320,70154638
559d9b1452414928ff9d0000,University of Pennsylvania Health System,684774279,10376028531,21590374671,0,55180314,12645054150,2960043460,728127816,6428060668
562529d15241495c5e530000,Flagler Hospital,72229491,139970352,653304042,0,26712,114334907,145673078,360048,71865924
57882c6b4004122fb14f4094,Sturdy Memorial Hospital,92314152,206642751,911902689,0,2620002,925173776,78176580,4807296,47277730
59ee651bd27cbe65baa14a23,Our Lady of the Lake Regional Medical Center,414826596,2104189338,1338478101,0,0,0,86196768,1232088,633077753
5acfa72aff16722d8f9117b0,Cedars-Sinai Medical Center,100726362,171364401,637191630,0,391776,541534081,158513480,11839152,39207591
5b06f54eff1672b95687c44b,Revival Home Health,10658637,8295936,44942220,0,6678,18285979,3145966,2034864,2565918
5b2286ddff1672e6cf391489,Christiana Care Health System,336535965,859106628,1725781248,0,0,96280,26085864,2184,290963441
5b6dac0e74410f377770e4df,Hill Physicians Medical Group,169694253,428461821,1841323104,0,954954,1141871172,137436858,34337472,83837175
51af69c4acc0db6d5e000189,SCL - Good Samaritan Medical Center,168749748,388475763,580839930,0,0,13688609,432023494,0,111377489
5175aa7e1b85b034fb00007a,Saint Francis Hospital,707364936,2026174839,1834915707,0,1348956,1629459569,682553104,7673952,463610226
5785446a677aff398bd74cf6,University of Alabama Birmingham,766768185,15538005312,2430031401,2065,4452,31228418,43354922,2955576,3971212718
58cfe3a074410f2d1ecca7a9,University of Virginia Health,556112313,8867931360,2740529268,295,0,0,31027596,1716936,2107024426
58dc22189c05524a52b01691,Carson Tahoe,167621778,1414963800,893619693,0,227052,503729739,176808690,6094920,485680019
5978d9d4d27cbea259272282,Seattle Childrens Hospital,33583608,56685459,257756850,0,1041768,209575083,66686378,2598648,12968771
5a0f22d4ff16725c1630d97c,Priority Partners,210059271,1066644963,3262478193,8996025,20252148,4772240957,4579270810,104226096,243854548
5628fda05241492dafde0600,Maryland Community Health System,183834648,723764442,1044301356,27939745,373968,1513747858,941818508,6009432,171945825
53d915aa61706f4842020000,United Regional Hospital,198015813,898177953,2849308920,0,1738506,3074075980,474527790,9341904,418761592
520b9fed677aff2618000073,UCSF Medical Center,725720949,4449956568,8144977320,6490,14615916,8012419193,3541655612,115530480,1382589343
55940e9c5241495e497c0100,Oneida Health Care,91101924,495085611,635007132,2360,329448,621747356,85764704,3017976,113910718
572711b64004120d850001bc,NYC Health and Hospitals Corporation,895193685,2002855776,7995694014,9460650,4696860,22345567432,212399962,0,462838159
5730ee00acc0db0fee00012f,Northwell Health,1345227894,4178500344,6078915288,0,0,0,117116348,3064152,1447899269
58f6cd49d27cbe42a2fed86f,University of Cincinnati Medical Center,464888079,5376320376,864379422,885,0,0,24978700,1399632,1341947480
5af48014ff167217fbe09c60,Reid Health,76885425,267370122,842290947,0,0,0,0,1248,81439083
54614dcd5241497e8e370000,HAHV,99451620,360600711,2896609563,885,545370,816748054,199667576,2512848,101500356
51c7d099677affcc74000712,SCL - St. Mary's Medical Center,132660144,344645175,955272627,0,8904,863920440,156920244,0,78849912
58c84e1074410f666aef1f74,Eyra Care Provider,1359,1473,0,0,0,0,0,0,337
5ae74f5fd27cbe53d0832236,Cambridge Health Alliance,201959631,2376545565,9552037527,5986140,52644900,5599517229,62689786,85113288,213985564
5b61c887ff16723570077169,Texas Children's Hospital,826961013,4461532875,155635047,0,0,0,2335846,0,1075738374
556f4e7f52414947ffb50000,Alecto Healthcare,143812098,309240147,241658352,0,356160,196642272,69386778,754104,84165076
5175aa971b85b034fb00007c,St. Joseph's Hospital and Health Center,126524259,244755153,1093445604,0,244860,837376044,246695042,4765176,55997268
53dfa9af5241492480080000,UCSD Medical Center,154458504,367095168,886488768,6282025,961632,871897238,1123568930,4647864,84193047
517801601b85b02a1e000003,Charleston Area Medical Center,192876075,381159372,2188115640,0,1360086,2157605916,963367700,22330776,88764789
5519b9135241491e373c0200,Shannon Medical Center,151437447,5344555131,1287636345,0,440748,699926716,270674594,11144952,1269542019
57b3270c677aff0b90d10dab,Rome Memorial Hospital,19874016,35978025,84771045,0,24486,70994465,22993906,350064,8231899
59893d6974410f2220d54d06,Eskenazi Health,361542924,9811158072,10333712133,0,62136564,6346789635,20198992,42801408,2359875526
5b3e1f27ff1672feb3fb80df,RCCH HealthCare Partners,1038406464,3729957114,2432897685,0,1645014,1810432271,588835722,5769192,1061400709
5b60819ad27cbe9e835cc139,Southcoast Health,325521270,1480037994,217239282,0,0,0,7493610,0,388329818
51c9ccbb677aff4218000528,Sentara Healthcare,1736220348,4856011113,7628628780,295,1887648,4206884797,3013403364,13209768,2996152420
51c0c559677affbffc001ed2,Providence Health & Services,5886412011,22639696251,17403206823,295,440748,954820795,1430172346,33801768,6590781455
5175a60b1b85b061b3000089,Camden Clark Medical Center,67103343,114729024,359169039,0,6678,270989688,95891204,1464840,26553578
55faceb85241492088930800,Norton Healthcare,876219327,6258286491,6443747325,295,300510,558320499,373168276,18005520,1658855203
57e198204004123a2d758980,Mon General Hospital ,591165,132570,521775,0,0,0,94514,0,30330
57e2b9f7677aff4c4bdec324,King Faisal Specialist Hospital and Research Centre,5436,4419,90441,0,0,0,162024,0,1011
583ec08a8e82a8782c2f0fd2,Northwest Michigan Surgery Center,80740908,122624304,502531938,0,109074,314782646,57248480,4365192,28026605
58dd445b9c055263862ee74b,University of Illinois,488882583,7043510385,1483169787,0,438522,410441640,149440136,4783272,1712102888
596f34d4d27cbe6ac13c93e2,Covenant Health,479254068,1767308346,266515713,56003685,233730,114804272,804665192,42003312,519277908
59d82188d27cbe7678087bbe,Tri-City Medical Center,207156447,688372671,94072554,0,0,0,877630,248040,184998846
5a3973a7ff167292f70caf2c,Alacare Home Health,34567524,67036230,633525291,0,574308,440921481,447672312,0,16453688
5175aab31b85b034fb00007e,Upstate University Hospital,174310776,309537693,1184777100,18761115,469686,1089328769,307116492,6018168,70889972
57a25b4f4004126a83ce3a34,Manhattan Endoscopy Center,59433147,84478023,698058423,295,3421362,539009138,324844618,2879448,19404123
593dfa20d27cbe7b8f0bf41d,John T. Mather Memorial Hospital,46581084,104764179,235042245,295,164724,226585352,96566304,2938104,57962315
5a95b4dcd27cbe43dacbf1b0,Luther Manor,725706,877908,20669247,0,20034,30313758,5765354,37128,202200
5b7d9f4aff1672dd3ed72c7b,VNA Health Group,5081301,6386928,20557935,0,2226,12778763,4698696,0,1524588
52df0911677aff7bc3000097,UC Davis,319495464,3003844710,1046513682,2360,670026,717452083,803314992,11301264,785932528
5594014452414968b54b0200,Medical Center Hospital,153300636,353041275,318011427,885,658896,313285492,89909818,1577160,80953129
53765bdf5241492816090000,Guadalupe Regional Medical Center,94003389,394404588,1327437342,0,1725150,1421836563,120181302,6226584,110614184
5175a0671b85b061b300006f,St. Mary's Medical Center,218156193,770924010,3157350966,0,476364,3142682701,635768674,10306608,178632579
5399d46652414911a3a70000,Disney Hospital,5929317,6523917,1203686226,7375,249312,2861923,61447602,312,1656355
51769d4226a97afcc800001b,Bon Secours Health System,145493181,262297110,452559807,0,0,201942486,102736718,0,80610400
57e9e16facc0db31e083d06d,NorthShore University HealthSystem,407945979,2160621441,1741587552,0,0,0,92178154,20802600,631699423
5aba9257ff1672d1d4de2a19,SCL Health,808426971,3717458709,3790006632,8260,3666222,1685188840,1168490084,27988272,1180642093
560188d45241493461290200,St. David's HealthCare,634822875,1306293225,3998946213,0,7067550,3877828641,967620830,40686672,298910238
54d2252752414932c1620000,Palmetto Health Tuomey,183629439,1173833700,255829761,0,66780,214492584,93906410,980928,269754346
55075e4e5241491dc95b0000,Peterson Regional Medical Center,102800196,239472975,859050360,0,138012,815106480,130145778,5824728,71275163
547d04ab5241493106670200,UCLA Medical Center,1442821761,30292386408,2644981830,15363600,251538,1331663122,332081690,10143120,7289948615
5175a6271b85b061b300008c,Prime Healthcare,4290190407,15338259147,4270095288,885,40068,712626048,415389030,21429408,4615796662
5769bbc2677aff73f2589d54,University of Missouri Health Care,325006209,2163433398,455328693,1180,0,416411,28880778,1144728,615022304
584067568e82a86411127b13,Mayo Clinic,142561818,584045973,202768722,0,779100,173438792,117251368,4310592,161314486
591db321d27cbe9587f57774,Brookdale  University Hospital Medical Center,242137107,1809137127,278940915,0,124656,199087784,47040968,3620760,455064580
59540087d27cbe7850c445f2,Mount Sinai Hospital ,465495552,1124595729,34757172,0,24486,29680717,22548340,1633632,633347353
59f8b966d27cbeb0af4a2940,Marketing-Events,0,0,0,0,0,0,0,0,0
5a86345bd27cbe355e8d1d51,StomatCare,262232640,905192379,2382299424,0,616602,5484159347,356236768,0,208558853
5b0ef760ff16727e2a621be8,Partners Healthcare,220062870,372539376,18881298,0,0,0,6818510,0,107606122
54ee4d8c524149146cde0100,Indiana University Health,1169878842,3370715982,6016044879,590,5355756,6142996166,893805396,40397448,771170243
54130e4261706f24c3040000,Henry Ford Health System,1096101450,3374687190,4148932176,0,129108,513959489,406369694,3982368,1118269796
56e6d232acc0db51e30001f4,Premier Home Health Care,5436,5892,83484,0,0,74617,40506,0,1348
575eb55facc0db0d0d4421f7,Twin Lakes Regional Medical Center,36533997,115455213,513287460,0,494172,614918697,46338864,2947464,26416419
57b22f2c4004121b3550dc06,Princeton Community Hospital,15635295,27910404,88444341,0,26712,82786358,18767780,627432,6419513
5a942ea8d27cbe7de07adc06,White Horse Village,2718,2946,34785,0,0,33698,27004,0,674
5b9fd48cff167259c8ca8681,Hartford Healthcare,9746748,14377953,331473222,0,6922860,291545468,399267642,2463552,5395707
5b85617874410f23140f6a8d,Sierra Pacific Orthopedics,104834619,966925809,1543340880,0,6542214,998105876,152842640,33241728,215637538
5b7f1ffcd27cbe886d3450bf,Frederick Memorial Hospital,218398095,1016850198,466619904,0,0,12035,4563676,936,267976334
5c19524a74410ff8d71d9752,Community Hospital,196474707,1035890196,217997595,0,0,190153,6548470,0,288118150
5c113c1974410fc8443478d8,Riverside University Health System,325907226,1458567546,8751906,0,13356,4392775,6372944,261456,357552282
5b856d97d27cbeda1d99f29c,Advocate Health Care,1846730151,7279327374,4853523222,0,0,0,29744906,0,1239677753
5b8e90cdff16721fae082110,Tealwood Senior Living,2015397,2281677,11486007,0,8904,11052944,6305434,0,532460
5bb3aadaff1672c192a61de9,UMass Memorial Medical Center,672487560,7075461228,243154107,0,0,0,9586420,0,1698811945
5bd8b72b74410f300b3459a9,CHI Mercy Medical,102797478,896648979,240955695,0,31164,78942379,25410764,1498224,224575115
5bff0048d27cbe269edde145,Health First,353176920,1743653439,2179572444,0,0,0,6062398,0,589720007
5c86821774410faa476d70ce,North Mississippi Health System,76932990,173363262,815082120,0,255990,856287843,246627532,15328248,39812843
5d545ea4d27cbe2f767a217c,Enloe Medical Center,133301592,1504176045,2503079901,0,36016680,1213696052,0,83398848,390204549
5ccaf480ff16726c99ab5401,Scripps Health System,97539507,62521485,326589408,0,153594,270330170,78271094,9423648,31555669
5eb9b129ff1672391b6812ba,UC Irvine,8749242,12401187,55266408,3540,6678,32285091,19685916,2464800,2837203
5fc693e474410f1b1aad6bed,Boone Memorial Hospital,6080166,14612160,16328079,0,8904,11654694,7453104,872352,6120594
5cf7ebbad27cbe2940acf76f,Banner Health,1312647228,4259941041,283045545,0,0,0,25545784,0,2123766586
5d39ab4cff16722bcfebaad6,St. Croix Hospice,14083317,26734950,144886482,0,872592,131215198,148170948,25272,6876485
5d9668e2d27cbe7843d42d5c,San Joaquin General Hospital,57496572,354741117,969687531,0,511980,1226272627,661044418,40832064,81180604
5e20d04dd27cbe3daefdd7af,Lee Health,291160314,1087408371,566814618,0,0,0,5063250,0,378082659
5eb247d0d27cbe3a85648c8c,Chinchilla Mansion,2718,2946,0,0,0,0,0,0,337
5fe2604cd27cbef4e57fa1bc,(HL7 Test Provider) Guardian Angels Elim Home Care and Hospice,27180,27987,0,0,0,0,0,0,6740
5ffdbd20ff1672dfd8901854,EvergreenHealth (HL7 Test),2718,2946,0,0,0,0,0,0,674
5ffdbe5fff1672df03927684,HL7 Test Care Provider (At Home Healthcare),0,0,0,0,0,0,0,0,0
5bd21c4b74410f37d4fcfc76,Good Samaritan Society,2609280,2881188,19632654,0,24486,24366061,13042932,186576,659172
5e4d58ebd27cbee741c1a244,Cone Health,62655336,108929823,14540130,0,0,0,607590,0,35702454
5b990c43ff16725e9ba7f3a7,Stanford Health Care,987365142,10406584443,900047961,0,0,0,14109590,0,2722741961
5cc71131ff167294e9961eed,Buckeye Home Health,1021968,1203441,12376503,0,0,9129751,2997444,56160,274655
5e6fdb96ff16724bb609d626,Keck Medicine of USC,62925777,261534096,1259161344,0,115752,756618787,63486404,61151376,64240288
5e961030ff1672331b6daf3a,Jenny Jung CP,2038500,1511298,3047166,0,0,36105,0,141648,346099
602e7e77ff167245043a233d,(HL7 Test Provider) Homecare Holdings,0,0,0,0,0,0,0,0,0
5d372c43d27cbef3dfe62fd1,Amerikan Hastanesi,0,0,0,0,0,0,0,0,0
5ea76302ff1672344f700d05,Well Care Home Health (HL7 Test CP),16308,17676,0,0,0,0,0,0,4044
5cd03c15d27cbe3fc1eab596,Charles B. Wang Community Health Center,70716924,474918768,1451578050,0,3152016,780556402,0,29491176,30880995
5d2f34f0d27cbe64350849b7,Willis Knighton Health System,54774495,65449809,248476212,0,0,0,29272336,0,42604214
5c923f12d27cbe7b9a209c1b,United Health Services,112053627,258816411,5579514,0,0,0,337550,0,77739160
5dd5960aff1672272a9a1f70,Culpeper Hospital,38826630,94018644,1975788,0,0,0,324048,0,38839924
5e4323dcff16723c334beeeb,OptimaHealth,81962649,246782001,1061860824,0,523110,1212993208,1672992314,38285520,56491310
5f16f01174410facfa8ce7cd,Regal Medical Group,542241,32406,2977596,0,0,2084462,1741758,165048,170185
5dcdc295d27cbe63f6c3df60,Cabell Huntington Hospital,126870804,716573256,107388252,0,40068,91947400,16972014,4405440,201222026
5cc6fb4ad27cbe42ea3b004c,Disney Health Plan,118233,125205,542646,0,0,255142,594088,0,27634
5e385f88ff167237f8c782d5,Hamilton Health Care System,72086796,279914190,7666614,0,0,0,324048,0,51931363
5ffdbd77ff1672e09c8f2f1b,EvergreenHealth,0,0,0,0,0,0,0,0,0
5b968f8dff16729f0fae928c,AnMed Health,254614086,4314047277,382565430,0,2377368,349282177,301229620,2653248,1024740164
5ffdbe2bff1672e1808e53f4,Homecare Holdings,0,0,0,0,0,0,0,0,0
5ca64c89d27cbef492462703,MultiCare Health System,477888273,1404439215,2207762208,0,0,31291,24114572,2496,505864971
5cae1530ff1672f96aa895a0,Management Solutions,5687415,12236211,12689568,0,26712,14697142,18794784,317928,2931563
5ceecbd0ff16729c31b2d17c,St. Bernards Medical Center,38696166,59350116,342166131,0,2588838,225437213,300311484,7207200,13612778
5d94bf9ed27cbe77a6d2275e,Texas Health Resources ,712877040,2179315284,742562352,0,0,0,4455660,28660320,652113872
5e4c36ced27cbe07d743e8d6,Baptist Medical Center South,89775540,130423839,115548813,0,0,0,2592384,0,67328893
5efc8b7bff1672fe6965e44f,AMSURG,22438449,25124961,317280942,0,362838,237717727,16863998,4766424,5747872
5f7f73c7ff16727be9020e62,HCA,0,0,0,0,0,0,0,0,0
5b9a88c1d27cbea5b9cfd739,ArchCare,429444,6305913,52984512,0,71232,52884197,12772892,357240,1456851
5ba538c7ff1672c3f4d69fde,Care Gaps Disney,6795,7365,34785,0,0,12035,0,0,1685
5c6f8101ff167233097621ec,SightMD,403900236,974744493,4986388008,0,18317754,3294407946,978516944,14499264,223215994
5c8bffe374410f54b353c239,Jupiter Medical Center,131524020,418787157,162981639,0,0,0,4563676,41184,161541287
5ccaf43cff167268f7aef4c0,Stony Brook Community Medical Center,278590923,1354943469,2515692942,0,17647728,1358566161,4526018922,54206256,296369595
5de9615aff1672b488aab42a,Sarasota Memorial Hospital,272301471,961508115,248636223,0,0,0,6332438,0,331274370
5e0e1c99ff1672435dfe154c,Licking Memorial Hospital,31648392,132914682,43105572,0,0,0,2025300,4923672,47281774
5efa4ab774410f5aff987f55,One Homecare Solutions,8299413,12343740,24043392,0,2226,19648341,9694436,1398072,3077484
5f4d41c2ff1672a740672261,Phelps Health,47274174,329306826,1220967414,0,26266800,575939739,0,51025416,88062818
5c5db16eff16727387d03f13,Aurora at Home,94250727,121990914,1839277746,0,2123604,1534845213,480509176,4850352,33923768
5d485ddcd27cbe03be05c5e9,iCare,1405206,1571691,7520517,0,6678,7485770,14136594,136656,393279
5f6cfa87d27cbe1015ecf0b2,Quinn Test CP,1359,1473,6957,0,0,2407,0,312,0
605c7eefd27cbe72e098319e,Guardian Angels Elim Home Care and Hospice,0,0,0,0,0,0,0,0,0
607890f974410f33fdfcea7d,El Camino Health,0,0,0,0,0,0,0,0,0
607efbcdd27cbe246d3c746e,Carpenter Health,0,0,0,0,0,0,0,0,0
