Care Provider Name,Care Provider ID,Time Zone,Program Name,Outreach Program ID,Outreach Use Case,Category,Call Launch Date,Call Launch Hour,Scheduled Count,Launched Count
UCLA Medical Center,547d04ab5241493106670200,Pacific Time (US & Canada),UCLA Breastfeeding,54be0df65241496afa370000,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),1,1,1
Franciscan Health System,5175a6c21b85b034fb000073,Pacific Time (US & Canada),St. Joseph Medical Center Same Day Surgery,5c6da54674410f498932a420,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),1,14,13
Franciscan Health System,5175a6c21b85b034fb000073,Pacific Time (US & Canada),Same Day Surgery,5266eb04677aff011500000e,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),1,6,6
Seattle Childrens Hospital,5978d9d4d27cbea259272282,Pacific Time (US & Canada),Seattle Children's Pediatric Inpatient,5a29d04dff167228829ac3f5,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),1,9,9
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS - Inpatient Post Discharge,5f6a0db274410f85e37c5fc7,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),1,4,4
UCLA Medical Center,547d04ab5241493106670200,Pacific Time (US & Canada),UCLA Research Consent Program,5ec593bcd27cbe6ed85ef66a,call_on_date,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),1,154,154
Providence Health & Services,51c0c559677affbffc001ed2,Pacific Time (US & Canada),PHS NorCal Inpatient Post Discharge,612fd135ff167210315be471,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),1,13,12
Providence Health & Services,51c0c559677affbffc001ed2,Pacific Time (US & Canada),PSJH NorCal ED Outreach,61531d02d27cbe0904427076,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),1,194,183
Franciscan Health System,5175a6c21b85b034fb000073,Pacific Time (US & Canada),SMMC Same Day Surgery,565dcc2941706f2a55920300,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,3,3
Providence Health & Services,51c0c559677affbffc001ed2,Pacific Time (US & Canada),Kadlec Inpatient PD Outreach,5d094ae1d27cbec2c79aa354,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,12,12
Sierra Pacific Orthopedics,5b85617874410f23140f6a8d,Pacific Time (US & Canada),Appointment Reminder Call (3 Day): MRI,5c86784dff167222a7e620dc,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,53,42
Sierra Pacific Orthopedics,5b85617874410f23140f6a8d,Pacific Time (US & Canada),Appointment Reminder Call (3 Day): PT,5c8674c1ff167222a7e61437,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,404,326
Sierra Pacific Orthopedics,5b85617874410f23140f6a8d,Pacific Time (US & Canada),Appointment Reminder Call (3 Day): Physician Office - New Patient,5b8562bc74410f4c746c3542,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,166,156
Cedars-Sinai Medical Center,5acfa72aff16722d8f9117b0,Pacific Time (US & Canada),Cedars-Sinai Inpatient Program,5af33d36ff16723c4cafb73e,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,34,34
Providence Health & Services,51c0c559677affbffc001ed2,Pacific Time (US & Canada),Kadlec ED PD Outreach,5d0a861dff16723f8aa4e68b,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,37,37
UCSF Medical Center,520b9fed677aff2618000073,Pacific Time (US & Canada),UCSF NSQIP,5cd1e36bd27cbe2c0fcedb09,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,4,4
Cedars-Sinai Medical Center,5acfa72aff16722d8f9117b0,Pacific Time (US & Canada),Marina Del Rey Inpatient Program,5d026446ff1672016a6ac3ae,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,4,4
Sierra Pacific Orthopedics,5b85617874410f23140f6a8d,Pacific Time (US & Canada),Appointment Reminder Call (3 Day): Physician Office – Existing Patient ,5c8672b2ff167222a7e6089c,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,472,427
UC Irvine,5eb9b129ff1672391b6812ba,Pacific Time (US & Canada),UCI Health - Heart Failure ,615f3e20ff167258579a6fa2,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,12,12
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS Appointment Reminder 2D,6176fb27ff16721f89f97caf,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,3,3
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS Appointment Reminder 1D,6176fb4f74410f1a443c763b,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,26,19
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS Telehealth Appointment Reminder 2D,6176fe82d27cbe0f52f99bd8,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,1,1
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS Telehealth Appointment Reminder 1D,6176fea374410f150c46adf0,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),2,16,14
University of Pennsylvania Health System,559d9b1452414928ff9d0000,Eastern Time (US & Canada),Penn Staff COVID-19 Screening,5e739253ff1672f2ee322d8e,call_on_date,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),11,946,937
Boone Memorial Hospital,5fc693e474410f1b1aad6bed,Eastern Time (US & Canada),COVID-19 Negative Results,5fc94780ff1672b4978ba858,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),11,13,11
Cabell Huntington Hospital,5dcdc295d27cbe63f6c3df60,Eastern Time (US & Canada),Cabell Huntington - COVID19 Negative Results,5fcabddbd27cbecf90331784,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),11,49,40
Johns Hopkins Health System,59555bcdd27cbeae95530829,Eastern Time (US & Canada),JHM-Std-Appointment Reminders-1D,5f46c9a3d27cbec8bcb2ba9e,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),12,151,144
University of Pennsylvania Health System,559d9b1452414928ff9d0000,Eastern Time (US & Canada),COVID-19 Pre Appt Screening v2,5fff69b874410f8790b44b59,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),12,67,62
Middlesex Hospital,517569541b85b034fb000003,Eastern Time (US & Canada),Middlesex CHF,52af8eca677aff565700002c,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,7,7
Middlesex Hospital,517569541b85b034fb000003,Eastern Time (US & Canada),Middlesex COPD,565c6b205241495cd1060000,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,2,2
Middlesex Hospital,517569541b85b034fb000003,Eastern Time (US & Canada),Middlesex Obstetrics,524d8baf677aff4bd4000001,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,3,3
Middlesex Hospital,517569541b85b034fb000003,Eastern Time (US & Canada),Middlesex Inpatient,517592101b85b06407000010,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,49,49
Cambridge Health Alliance,5ae74f5fd27cbe53d0832236,Eastern Time (US & Canada),Appointment Reminder (5 Days),5c61d721d27cbe59eab98337,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,1674,1547
Middlesex Hospital,517569541b85b034fb000003,Eastern Time (US & Canada),MID-AMB,598361b6d27cbe5d10b9b0b9,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,13,13
Cambridge Health Alliance,5ae74f5fd27cbe53d0832236,Eastern Time (US & Canada),Appointment Reminder (1 Day),5c61d65fd27cbe685ccf11ff,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,12,11
Cabell Huntington Hospital,5dcdc295d27cbe63f6c3df60,Eastern Time (US & Canada),Cabell Huntington Hospital - Post Discharge,5dcdc37bd27cbe6136ca51dd,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,34,34
OptimaHealth,5e4323dcff16723c334beeeb,Eastern Time (US & Canada),Optima - Emergency,5e540fbbd27cbe244cff7e77,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,946,908
University of Pennsylvania Health System,559d9b1452414928ff9d0000,Eastern Time (US & Canada),Penn Staff COVID-19 Screening,5e739253ff1672f2ee322d8e,call_on_date,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,822,813
Trinity Health of NE,591db38dd27cbe8dc3f577b5,Eastern Time (US & Canada),Saint Francis ED Follow Up,5923219dd27cbec4c44bcdda,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,455,436
OptimaHealth,5e4323dcff16723c334beeeb,Eastern Time (US & Canada),Optima - Post Discharge,5e540f40d27cbe244cff7dab,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,234,226
Trinity Health of NE,591db38dd27cbe8dc3f577b5,Eastern Time (US & Canada),Johnson Memorial Hospital - Post Discharge,5df01463ff1672e8881e6ec8,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,1,1
Johns Hopkins Health System,59555bcdd27cbeae95530829,Eastern Time (US & Canada),JHM-Std-Appointment Reminders-5D-No Cancel,5f2b185874410f1c555b1c36,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,52,52
Boone Memorial Hospital,5fc693e474410f1b1aad6bed,Eastern Time (US & Canada),COVID-19 Positive Results,5fc93fa874410f1bc2ad44da,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,5,5
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw-Std-Appointment Reminders-5D,5ec53459ff16727b62c21677,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,6142,5505
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw-Endo-Appointment Reminders-5D,5f10898dd27cbeda01fabe62,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,85,78
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw-Std-Appointment Reminders-2D,5f1088a6d27cbed963fbd6c0,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,9184,8259
Cambridge Health Alliance,5ae74f5fd27cbe53d0832236,Eastern Time (US & Canada),Telehealth Appointment Reminder (4 Day),5fdbdd44d27cbe5ba821cb93,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,117,115
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw-Video Visit-Appointment Reminders-2D,5f108aabd27cbeda01fabfee,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,872,832
Charleston Area Medical Center,517801601b85b02a1e000003,Eastern Time (US & Canada),COVID-19 Positive Results,5f2aefeeff167284b4f1e7db,post_admit,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,3,3
Inova Health System,58bec27a9c055208405da427,Eastern Time (US & Canada),Inova COVID-19 Negative Results,5f90a5a174410faf65590126,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,337,307
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw-Phone Visit-Appointment Reminders-2D,5f108bdb74410f7192674093,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,153,139
Johns Hopkins Health System,59555bcdd27cbeae95530829,Eastern Time (US & Canada),JHM-Std-Appointment Reminders-1D,5f46c9a3d27cbec8bcb2ba9e,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,9,9
Cabell Huntington Hospital,5dcdc295d27cbe63f6c3df60,Eastern Time (US & Canada),Cabell Huntington - COVID19 Positive Results,5fc52840ff1672b49787d53d,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,8,6
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw-Cancer-Appointment Reminders-5D,5fa1bf9474410f12609a9ae0,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,660,583
Princeton Community Hospital,57b22f2c4004121b3550dc06,Eastern Time (US & Canada),PCH COVID Positive Outreach Program,60107cbdd27cbe042d5ebc6f,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,1,1
Princeton Community Hospital,57b22f2c4004121b3550dc06,Eastern Time (US & Canada),PCH COVID Negative Outreach Program,600ef4d974410fe533b0593f,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,6,6
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw-Self-Scheduling-Appointment Reminders-5D,614b6d39ff16726382a5409c,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,178,158
Inova Health System,58bec27a9c055208405da427,Eastern Time (US & Canada),Inova COVID-19 Positive Results,61e1aeda74410f53e5f598b4,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,46,40
Sentara Healthcare,51c9ccbb677aff4218000528,Eastern Time (US & Canada),Sentara-COVID Negative Result,62978967a8cd74369e3478f9,call_on_date,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,748,730
Sentara Healthcare,51c9ccbb677aff4218000528,Eastern Time (US & Canada),Sentara-COVID Positive Result,6297899fdacaff5d1517f996,call_on_date,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),13,136,132
Sentara Healthcare,51c9ccbb677aff4218000528,Eastern Time (US & Canada),SAMC HR Sepsis Care Transitions Call,56006ce561706f3ede990a00,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,3,3
Sentara Healthcare,51c9ccbb677aff4218000528,Eastern Time (US & Canada),SAMC MR COPD Care Transitions Call,5611e43752414969d8e80100,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,1,1
Upstate University Hospital,5175aab31b85b034fb00007e,Eastern Time (US & Canada),UUH Inpatient,54a41059524149400ba90100,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,89,88
Upstate University Hospital,5175aab31b85b034fb00007e,Eastern Time (US & Canada), COM - SDS,5bb23ce0ff167274f2a1b0e9,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,24,24
Johns Hopkins Health System,59555bcdd27cbeae95530829,Eastern Time (US & Canada),JHM-Std-Appointment Reminders-5D-No Cancel,5f2b185874410f1c555b1c36,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,1,1
Boone Memorial Hospital,5fc693e474410f1b1aad6bed,Eastern Time (US & Canada),COVID-19 Positive Results,5fc93fa874410f1bc2ad44da,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,3,3
Boone Memorial Hospital,5fc693e474410f1b1aad6bed,Eastern Time (US & Canada),COVID-19 Negative Results,5fc94780ff1672b4978ba858,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,10,9
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw-Std-Appointment Reminders-5D,5ec53459ff16727b62c21677,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,729,585
Johns Hopkins Health System,59555bcdd27cbeae95530829,Eastern Time (US & Canada),JHM-Std-Appointment Reminders-5D,5efc9059ff1672fe6965e8c4,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,9306,8632
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw-Endo-Appointment Reminders-5D,5f10898dd27cbeda01fabe62,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,13,13
Phelps Health,5f4d41c2ff1672a740672261,Central Time (US & Canada),Phelps-Appointment Reminders-1D,5f4d43b0ff1672a6396a3336,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,2,2
Phelps Health,5f4d41c2ff1672a740672261,Central Time (US & Canada),Phelps-Appointment Reminders-No LT-5D,5f4d4435ff1672a894659a21,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,98,92
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw-Std-Appointment Reminders-2D,5f1088a6d27cbed963fbd6c0,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,1029,974
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw-Video Visit-Appointment Reminders-2D,5f108aabd27cbeda01fabfee,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,53,44
Johns Hopkins Health System,59555bcdd27cbeae95530829,Eastern Time (US & Canada),JHM-Video Visit-Appointment Reminders-2D,5efe3c3dff1672fe696735a0,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,628,615
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw-Phone Visit-Appointment Reminders-2D,5f108bdb74410f7192674093,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,18,18
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw-Cancer-Appointment Reminders-5D,5fa1bf9474410f12609a9ae0,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,181,176
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw KOOS PROMIS Pre-Op,60400f1574410f037796125d,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,15,9
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw HOOS PROMIS Pre-Op,6034248774410ff23472bd3f,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,6,4
University of Pennsylvania Health System,559d9b1452414928ff9d0000,Eastern Time (US & Canada),Post Discharge,6034015a74410ff2b7727257,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,380,372
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw HOOS PROMIS Post-Op,603e5044ff1672e803bd05bf,post_admit,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,52,3
Princeton Community Hospital,57b22f2c4004121b3550dc06,Eastern Time (US & Canada),PCH COVID Negative Outreach Program,600ef4d974410fe533b0593f,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,1,1
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw KOOS PROMIS Post-Op,604f62c2ff16722552c4ce89,post_admit,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,58,6
University of Pennsylvania Health System,559d9b1452414928ff9d0000,Eastern Time (US & Canada),LGH Post Discharge,605ba19474410fcaf5e7cf98,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,93,93
Clark Memorial Health,60a6a42774410f5af7470ae0,Eastern Time (US & Canada),Clark Memorial Hospital Post-Discharge Outreach,60e89dfb74410fd36f263819,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,1,1
Community Health Network,59516787d27cbede1924d757,Eastern Time (US & Canada),CHNw-Self-Scheduling-Appointment Reminders-5D,614b6d39ff16726382a5409c,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),14,4,1
