Collections,611d3179ff16727d8412599d,557b1ce55241494b54fd0000,51756a1a1b85b034fb000016,519557b673d8383f82000018,5594014452414968b54b0200,527191f2677affa59a00000b,554008ab52414951751c0000,547df4565241490d16a20200,5220beee677affa2b90002e5,52eea00d524149252c710000,5aba9257ff1672d1d4de2a19,5175a60b1b85b061b3000089,52f023595241494e0a6c0000,56f1e1cc677aff63e10001ee,581211ba677aff7b1c213738,5a8de36fd27cbed1e4e58aab,5d07c9abd27cbe13d7a51ac4,586fc939da77105e71728f5c,5b102bafff16727ce9d6aec7,5b9a88c1d27cbea5b9cfd739,59540087d27cbe7850c445f2,5b9c19b4ff16722ec0a7c384,5e4c36ced27cbe07d743e8d6,564a30f85241492305000200,5806478dacc0db2471558a9a,585189588e82a84f693d4c24,584f0bf18e82a84d09dc87fc,5a83008bd27cbecd65521fe7,57b48c1f677aff525cbff410,558aa7b5524149206d560100,5177eb1d26a97afc6e000001,5463b63852414974d6090000,575edf56677aff66f9623379,52128b15acc0dbc186000286,560983d461706f60f7b60f00,57334fc54004127d5b0000e9,51ac94d2acc0db9498000007,55b0ed2052414905aa3f0700,55dcd09c52414945c4c60400,5c1d0610d27cbea2ac779143,5a73278cd27cbe6df84fcbca,5964d364d27cbec73e176a7a,54b3fc425241490a23010000,57d2c4d1acc0db5ef2f029fd,59a07258ff1672acc2212126,5915c596d27cbe39b3e81a76,517569381b85b034fb000001,5aba867cff1672194cd194f3,57c08ccb4004125f94ec0591,56ccb0d4677aff6fd90001d3,57d97f3bacc0db71e593dd90,55ad3b145241492a83fb0200,559573e752414972213d0100,556f3be35241496db2270300,5512aea2524149733e070000,52407d7e677affa215000029,53ece89e61706f256e160000,5175aaea1b85b061b300008e,5175a9be1b85b034fb000078,56b27662677aff192a000173,51ac9fafacc0dbd7bb00000b,5182aa5226a97a92a1000001,52657890acc0db9bdf000009,5936e861d27cbe2cb7990e71,51927c0f73d838347d00000c,5457bbd15241492705a20000,5487715f52414955a2690000,517569bf1b85b034fb000007,5175c26226a97aab25000067,517569b71b85b034fb000005,596d0779d27cbe292b7be0b1,54e2f02952414947d5920000,53ee158761706f5eed060000,5176ab7c1b85b06d8600003d,52689ac6677aff2d2a00000a,596d07a1d27cbe27cf7be1c0,52d962c5acc0dbfd5900005b,5281368bacc0dba8c0000039,54469d745241491b32920000,52d7bd48677affef6a000002,51b63f0a677aff00e7000485,537a36205241495230280000,524d63a3acc0dbcfa4000269,538f55995241491746020000,53b3300352414966aa020000,52840f59acc0db34b0000079,543d9afa5241491df70e0000,544fa0f25241496fe6130000,55b0fdd95241497fbd7c0200,54bea02652414977bb1f0000,548b5fe552414963751c0000,5176e25526a97a7e4300001c,54ca7ff852414961c0320000
criteria_choices,,198,198,198,198,198,195,196,198,196,196,198,198,196,198,198,198,198,198,198,198,198,198,198,198,196,198,198,198,196,198,198,198,198,203,198,198,198,198,198,198,198,197,198,198,198,198,198,198,198,198,198,198,198,203,203,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,203,198,198,198,198,198,198,198,198,198,198,198,198,203,198,198,198,198,197
comments,,5,15906,3232,3057,3705,90,1664,19009,12333,8689,2912,10324,7,1068,22153,4,8,255,91,946,774,8,14001,4636,193,31,573,9051,27175,9023,1490,540,19048,54,433,2881,1,128,,,1623,9005,3372,26,933,6758,,92,33,6,25,57,1247,3603,,2151,,7097,,7348,194,1265,511,816,293,304,4274,27,,,,243,,1,,639,10711,1342,83,224,196,19112,491,859,12186,,,,1446,3559,2045,3
data_exchange_export_attempts,,1,18,183,25,20,538,326,155,103,284,12,552,1086,22,2694,5,1,382,16,,7,5,31,72,220,78,96,1,20,3,,,38,,,,,,70,3948,505,161,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
care_teams,,1169,2021,2015,42,411,7086,16466,4556,7742,,300,1778,2207,98,5566,,,,,133,,,8955,14522,19951,2689,,836,29662,1099,2472,1271,1348,47,7660,591,,1568,,,4895,1768,4013,1,,32,,6082,51,35,1,,,,,460,,227,822,5,2,244,4,1,,2,,,,,,,,,,866,1328,,,,,2594,,2,753,,14,74,,,,27
deleted_patient_events,,3029,1490,823,89,5,5228,4261,1629,17146,165,160,807,18,11,57,78,2,,58,13,509,,17,20,3617,4,,123,4341,834,82,,336,14,16,2996,,14,,15,61,1748,785,16,305,,,2762,,,31,2,40,30,,10,,91,,920,16,401,96,86,3,7,279,,,,,1,,,,35,2859,,4,384,,923,,2,60,,,,65,72,113,24
deleted_report_package_events,,35,52,7,7,12,60,282,154,,271,10,11,38,3,2,,2,31,2,1,6,,1,6,7,,1,2,,13,,,3,,,,,,6,,2,107,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deleted_encounter_events,,144,,110,133,9,70287,7503,3804,399220,20291,3,597,46,,28,,,789,1,48585,2263,24121,25,103,32070,,297434,6,4458,28,,,62,,1564,,,,5471,9,140,108,15,763,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,,,,,,,,,,,,,,,,
departments,,1,,,,,804,1,904,107,2989,,,587,,,,,,,,172,73,,,3,,,,,,,,,,,37,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,577,,,,,2,,,,,,1,,,,
encounter_criteria,,3,,,,,2,1,,3,5,,,,,,,,,,,3,,,2,7,54,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,,,
email_events,,1609,8875,14507,12121,1270,19576,18896,41876,12562,98227,9720,9494,13076,2924,3219,525,261,7116,2450,87,3081,1202,381,541,1220,313,3841,10002,64568,8402,1176,3678,1676,80,1265,,,,212,124,5056,20586,17,4342,11963,,,,,,,,,,,,,42,,,,,64,,,,,,,,,,,,,253,,,,,,27,,,,,,,,,,
encounter_merged_events,,2821,223,251,203,12,400,800,515,15852,,10,1339,1,1,,,,,,9,1412,,5,101,32868,,,117,7198,1220,292,,67,2,29,551,,3,,,98,195,654,2,713,53,,928,1,,40,4,8,71,,,,2,,26,,28,461,,10,,5,,,,,,,,,26,9728,,,,,1031,,,14,,,,49,87,42,328
facilities,,1,2,1,3,3,18,18,21,95,4,2,5,3,1,1,,2,65,1,2,1,,56,15,4,2,1,1,24,3,1,2,1,2,6,1,1,2,,35,2,2,4,2,4,1,,1,1,1,2,1,4,2,,4,,1,1,2,2,1,1,1,1,4,2,,,,1,1,,1,,1,1,2,1,2,1,1,1,2,3,1,,2,3,2,1,1
encounters,,168835,335084,368535,246477,81165,6369670,2495519,1111508,4358371,3269959,79835,545260,8092231,6544,6138,15610,4870,218055,4843,902477,314032,244423,100979,87240,2356542,1620,433378,24882,2994976,399668,398841,123800,777935,2302,561254,450363,95,73046,1015409,61726,6442,316585,67576,70668,111613,175374,,213578,2776,1019,30643,10472,17050,59348,,44389,,25898,52343,152109,14576,87739,153056,21603,5577,20490,33360,249,,,,2969,,3,,63152,225808,14257,5104,108380,20627,352735,20700,5130,125614,288,9,,66738,57064,62749,258684
interactions,,5199,218494,323679,49471,72592,291693,976572,539160,402403,560640,52975,69501,6175,8360,2290,24927,4719,73703,9020,5543,27452,22514,12569,,19429,,43235,81287,952464,192143,43760,89711,25690,2236,43449,79945,626,736,898,52999,42260,166930,166897,41283,57763,95259,,9128,2048,143,23519,10048,16481,51782,,15750,,27241,,74129,828,20071,14886,4987,2993,15969,25121,226,,,2,959,,3,,7018,130766,6846,381,1671,1393,200867,9865,4038,37124,230,,,39201,49113,4439,1159
issue_alerts,,7,25,12,18,4,12,11,345,45,196,6,17,5,14,2,26,1,2,2,2,5,4,,,5,,9,27,204,25,7,6,14,15,6,34,5,13,,,7,36,3,5,13,10,4,8,2,2,2,1,3,7,,6,,6,,3,5,12,14,11,25,6,8,2,,,2,1,,,,6,40,7,2,2,2,44,2,4,65,5,1,1,27,7,3,12
issue_panels,,7,14,5,13,3,6,6,31,31,94,8,7,5,4,2,1,1,5,2,2,6,5,1,,9,,10,8,255,16,6,7,41,4,3,26,7,13,,,4,11,24,4,3,3,4,2,1,58,3,1,2,4,,4,,6,,1,3,8,13,3,3,2,2,2,1,2,3,2,,1,,3,21,5,1,2,2,20,2,5,2,1,1,1,1,2,5,5
issue_subpanels,,6,84,69,107,30,8,8,114,86,645,68,72,4,25,6,19,13,103,16,9,95,11,4,,22,,188,15,2509,120,85,68,628,25,4,104,8,27,,,16,112,110,16,30,32,66,29,17,115,18,7,24,53,,28,,90,,12,50,62,157,42,16,24,23,20,,33,2,27,,9,,32,122,29,11,11,26,149,25,76,15,1,8,7,15,31,72,11
issues,,57,15316,26802,7283,10111,982,23452,27535,72967,87347,7344,13436,390,1479,1480,4060,222,31456,1124,1670,1864,214,18,,9677,,4567,14504,55344,13243,2790,7170,9663,236,640,6066,613,62,,,10461,19086,45334,3688,5060,9750,,657,165,91,1104,59,1311,4218,,3215,,9135,,9543,213,2875,802,1088,346,1175,5423,32,,,,217,,3,,1150,10212,1519,88,339,284,24627,1138,844,8064,1,,,3280,4535,1640,41
location_groups,,12,,4,,,187,,492,,248,,,152,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
location_interactions,,178,,,,,27266,,1560,,15567,,,1452,,,,,,,,,,,,,,,,,27883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
location_issues,,3,,,,,229,,53,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locations,,12,,4,,,203,,500,,385,,,154,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orchid_configuration_settings,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
orchid_graphs,,6,4,3,,,6,4,8,8,10,,,4,4,,,,,,,4,4,,,,,,,,4,,,,1,4,6,,2,,,,,,,,3,,,,,,,,,,4,,,,,,6,,,,,,,,,3,,,,,,5,,,,,4,,,,2,,4,,,,4
orchid_satisfaction_feedbacks,,3,26,,,,37,9,124,52,221,,,12,,,,,,,,4,,,,,,,,,9,,,,,17,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
orchid_settings,,61,142,50,55,68,562,1791,735,536,2516,43,49,291,22,15,33,5,25,75,12,67,111,96,81,51,109,30,38,474,139,23,39,14,23,143,1,8,64,4238,3,15,147,,12,36,,,35,,,1,,,,,32,,16,,5,,,48,,1,,,,,,,,,,,1,,1,,1,,5,,,27,,1,31,,,,11
outreach_programs,,6,8,10,3,1,12,6,26,25,44,3,8,,1,1,8,1,4,2,1,5,,5,,11,,6,2,46,23,2,3,16,2,,11,1,3,1,1,10,5,6,1,2,4,2,2,1,7,2,1,1,13,,8,,4,1,4,4,8,4,2,1,2,8,1,,,6,3,,3,,6,15,1,2,2,1,25,3,4,2,6,,2,1,1,8,4
patient_import_associations,,583,660,12019,9,7,6,7,713,1429,27,1,2,5,2,1,2,2,2,7,,1,1,13,19,17,19,3,3,71,183,4,1,11,9,3,12,1,3,,9,11,9,8,,10,4,,3,1,14,2,1,2,3,,1,,4,2,2,3,5,1,2,3,2,2,1,,,3,1,,,,4,144,2,1,1,3,549,2,6,3,2,,,1,9,4,
patient_imports,,61969,61149,47326,7456,1940,201,7926,94261,40061,15592,2717,2629,125,1309,3,779,9485,1486,227,,74,10,3491,1221,1451,157,6941,5066,15565,44636,1382,954,2950,295,6,40270,5,10,70,112,2461,25782,36989,,38742,4595,,313,,63,1,428,277,627,,1157,,17715,881,819,2,9771,630,892,1987,528,2175,11,,,1,605,,,,597,42286,873,177,55,379,50993,554,1,1688,11,,,865,503,891,9
patient_merged_events,,3026,1484,816,89,5,5228,4261,1626,17145,,160,807,,2,3,,2,,,12,507,,1,,3446,,,123,4339,834,82,,317,,16,2996,,14,,,1,1748,782,16,305,,,2762,,,31,2,40,30,,10,,91,,920,16,401,96,86,3,7,279,,,,,1,,,,35,2859,,4,384,,923,,2,60,,,,65,72,113,24
patient_tags,,1,1,1,1,1,1,1,1,1,5,1,1,2,1,12,,1,,,1,1,,14,20,2,105,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
provider_roles,,24,46,12,8,6,77,79,87,90,185,23,27,73,13,5,7,1,9,6,2,11,5,12,15,11,5,19,5,276,38,4,9,12,4,32,11,1,26,17,4,14,35,95,6,8,,,5,1,13,,,,,,16,,5,,,,5,28,,,,8,,,,,,,,,3,1,,,1,,56,,4,,,,,,,,
patients,,85151,114335,175035,117611,57919,554457,765276,314460,647691,822171,51173,318458,660047,5479,5568,13440,2956,123327,358,418539,87220,123551,94181,82713,325871,2683,169474,18041,1357937,66018,48245,72060,251322,1504,203212,119076,190,55318,305792,55134,5085,186336,60961,45515,53559,117977,,150404,1790,848,21080,7982,13466,47557,,27451,463,17725,41543,87845,12233,50389,91962,19253,3891,15341,21877,237,11819,,1123,2559,3427,3,,28958,81365,10710,4413,56597,15034,209135,17452,4348,83117,288,10,46703,45311,36736,45620,78948
rounding_flags,,3,6,2,,,13,20,5,11,33,,,2,1,,,,,,,6,5,5,,,,,,,,,,2,,,,3,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,3,,,,,5,,,,,,1,,,,4
rounding_scripts,,25,2,3,,,87,23,32,33,182,,,57,1,,,,,,,4,2,2,,,,,,2,24,,,,2,13,6,1,3,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,7,,,,,21,,,,,,,,,,1
rules,,1,,1,9,,6,3,4,2,16,4,3,3,3,30,,,6,2,1,9,1,,,6,,1,2,60,2,2,2,4,,3,19,6,,1,,1,5,12,,2,,,2,1,,,,2,,,1,,7,,1,2,,,,2,,3,,,,,,,,,10,,,,,,2,,4,,,,,,1,1,4
rule_events,,359,,359,3231,,2154,1077,1436,718,5056,1436,1077,1077,1077,450,,,1465,718,359,3231,359,,,434,,359,718,21540,718,718,718,60,,1077,6821,2154,,359,,15,1795,4309,,718,,,718,359,,,,718,,,359,,105,,359,718,,,,718,,1077,,,,,,,,,3590,,,,,,718,,1436,,,,,,359,359,1436
staff_members,,2,,,,,12085,2,9245,2733,31367,,,11387,,,,,,,,3529,2904,,,,,,,,,,,,,,732,,4453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7807,,,,,295,,,,,,2,,,,
staff_member_show_in_orchid_events,,2,,,,,12085,2,9245,2415,31367,,,11387,,,,,,,,3529,2904,,,,,,,,,,,,,,555,,4272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5368,,,,,225,,,,,,2,,,,
units,,24,217,38,150,87,1065,972,737,1290,892,79,251,633,28,1,7,2,193,100,272,412,75,122,55,638,82,93,23,1093,72,64,19,113,12,81,152,4,44,765,3244,10,55,91,25,236,14,,62,2,85,11,1,5,27,,42,,10,62,53,46,19,72,6,9,100,24,5,,,162,5,,3,,37,152,11,262,78,18,177,13,28,40,50,,43,3,7,68,82
user_event_bases,,333,10663,10929,3483,7908,110414,11428,78552,,389272,640,5700,5209,116,11347,13783,6,36504,2893,7,2303,26762,1651,499,1399,,11350,739,4675,3485,,3,,,,,,,1898,2,26020,8695,,,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
tracks,,464,46868,64665,18873,50631,5854,52071,71201,163676,355573,15656,35023,3021,6831,6968,17829,1980,97046,3967,5266,5230,393,37,,16284,,24098,33882,209287,32975,10384,55440,29789,1350,1024,19655,1816,414,,,20132,81685,182208,12751,20917,22419,,2799,958,351,2101,240,5378,17480,,12469,,35005,,29066,773,5548,3312,3790,1361,2860,13994,549,,,19,816,,3,,3314,36810,3307,108,712,1844,83287,4536,3318,48172,3,,34,12213,36602,5942,699
unit_visits,,207686,503120,368784,247019,81215,6619593,4448872,1711015,4606482,4447582,80741,613211,8569198,6737,2240,15610,4870,333904,4885,2198496,332574,375829,103438,94083,3895878,,612305,25754,3016987,2294702,398920,123801,778073,2440,885483,784423,95,141090,1123896,61728,10644,320479,67591,240278,123634,175377,,214246,2776,1020,30643,10472,17050,59348,,44392,,25898,52345,152130,14576,93810,47927,21603,7131,20698,33360,249,,,,2969,,3,,71899,279361,14257,5104,108380,20631,610587,20708,5139,125615,316,9,,66739,57066,62756,307376
blacklisted_phones,,,238,2,6,,,1,30,5,15,1,4,,,,,,1,5,,,,,,,,1,160,7,119,4,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call_attempts,,,75,362,298,46,,,108,19,1659,3,104,,5,2,59,1,1394,32,558,88,,,,2132,,1221,5,1975,93,2,42,1106,1,,,,,2,229,2001,177,1,61,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call_hour_infos,,,4761,4458,3790,1336,,,4698,936,27784,3856,3162,,700,430,6376,381,7900,704,,1387,,,,1113,,5931,271,11697,9087,,141,419,,,,,,466,,4984,1559,,367,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
custom_converters,,,1,,2,,,,,,2,,,,,,,,,,,,,,,9,,1,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archived_call_attempts,,,458801,735691,141172,190639,,,835744,753100,714934,115352,195350,,21776,5597,60145,14261,205191,25438,12331,65998,,53660,,42243,,116088,147668,2747807,381715,142188,262030,76799,5236,,177792,,,1983,252201,82630,398541,292638,155993,175516,296074,,27425,5650,236,74116,29452,43728,142350,,40226,,70095,,201618,2868,56572,44569,14900,8224,48156,62045,555,,,,2372,,,,17815,322805,23852,860,4823,3257,254940,27167,11553,84488,,,,116159,133687,10997,
enrollment_reports,,,226,181,76,47,,,281,170,,86,177,,40,4,,48,,,48,,,,,100,,,95,1491,291,91,47,165,1,,,,,,5,142,149,,32,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enrollments,,,106,,3,,,,,,28,,,2,,,,1,,,,,,3,53,3,2926,,,1,1,,,,34,,,,,,,,1,93,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
outreach_actions,,,6,12,8,2,,,46,12,79,3,14,,5,30,24,1,10,6,1,18,,6,,12,,34,6,57,37,2,6,52,3,,14,,3,2,2,35,13,36,1,2,5,2,2,1,115,4,2,1,15,,1,,10,1,2,4,12,4,5,1,5,8,1,,,,7,,3,,11,27,2,5,1,1,34,6,13,4,,,,1,1,21,
outreach_blockages,,,166,5,2,,,2,97,4,665,4,8,,13,1,230,1,10,16,,1,,,,33,,14,821,10,151,4,387,30,18,,453,,,,,,3,2,6,2,5,,67,,,2,103,,3,,1,18,407,,,,9,,1,1,1,1,1,9,,,2,,,,,205,,,1,,3,,14,4,,,,1,2,3,
deleted_interaction_events,,,,156,41,7,1,16,348,,6430,12,73,6,,1,5217,,5439,92,18300,68,,,,635,,2082,,1,2225,,,13545,,,,,,2,2,146,,,,4787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
echo_settings,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_events,,,,965,,,3685,811,,,167,,2304,7125,,88946,,,2187,,,,,344,,189,804,,,,,,,,,,,,,,11486,,836,2034,,,,,,,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_jobs,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
key_metric_absolutes,,,,2,,4,,,4,11,17,,2,,2,,,,,,,,,201300,243693,126351,106,,,8,,,,3980,,,,,48,,,1,11,,,,2,,,2,,,,,2742,,2,,,,2,6,,,,67,,,,,,,,,,,,2,2,,,,176,,,2,,3491,,,,,387
data_exchange_file_import_chunks,,,,186,337,,6024,9230,,,6799,245,2933,4491,,,457,,484,34,,1074,199,,,70,,704,,,5137,,,7280,,,,,,,,532,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patient_events,,,,1649,6128,,3403,3744,4380,,72712,3352,5003,,,,2125,,11330,1028,8879,,,,,69,,4341,,,2767,,,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
report_packages,,,,7,7,8,57,,35,,258,10,9,12,3,,2,,50,2,,,2,,,2,,6,,,13,,,2,,,,,,6,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
